Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Suarez,Trump
Firehouse Strategies/3D Strategic Research,https://firehousestrategies.com/firehouse-poll-of-gop-primary/,National,Aug. 15-17,0,0,0.05,0.16,0,0.04,0,0,0,0.06,0.09,0.03,0,0.5
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/SC-GOP-PPP-Poll-Report-0820.pdf,South Carolina,Aug. 17-19,0,0,0.07,0.14,0,0.08,0,0,0,0.02,0.06,0.14,0,0.48
Echelon Insights/Republican Main Street Partnership,https://echelonin.wpenginepowered.com/wp-content/uploads/RMSP-National-Republican-Primary-Voter-Survey-Topline.pdf,National,Aug. 15-17,0,0,0.01,0.12,0,0.03,0,0,,0.04,0.15,0.03,0,0.57
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,Iowa,Aug. 15-17,0,0.02,0.04,0.17,0,0.02,0.01,0,,0.03,0.08,0.13,0,0.33
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,New Hampshire,Aug. 15-17,0,0.02,0.14,0.09,0,0.03,0.03,0.01,,0.03,0.11,0.07,0,0.34
American Wire/McShane LLC,https://americanwirenews.com/exclusive-trump-surges-but-voters-say-they-can-be-persuaded-in-new-american-wire-news-poll/,National,2023-08-15 00:00:00,,0.01,0.06,0.12,0,0.03,0,0.01,,0.05,0.05,0.03,0.01,0.52
Morning Consult,https://twitter.com/MorningConsult/status/1693699741127708755,National,Aug. 18-20,,0,0.03,0.14,,0.03,0,0.01,,0.06,0.1,0.03,0,0.58
Morning Consult,https://twitter.com/MorningConsult/status/1695141742364987544,National,2023-08-24 00:00:00,,0,0.04,0.14,,0.03,0,0,,0.06,0.11,0.03,0,0.58
Kaplan Strategies,https://kaplanstrategies.com/2023/08/28/post-debatee-gop-poll/,National,2023-08-24 00:00:00,,0.02,0.04,0.1,,0.08,,0.01,,0.05,0.13,0.04,,0.45
Morning Consult,https://pro.morningconsult.com/trackers/2024-gop-primary-election-tracker?utm_source=twitter&utm_medium=organic&utm_campaign=GOP_Primary_Tracker&utm_content=organic_post,National,Aug. 25-27,,0,0.03,0.14,,0.05,0,0.01,,0.06,0.1,0.02,0,0.58
Morning Consult,https://twitter.com/MorningConsult/status/1699840477023883721,National,Sept. 2-4,,0,0.03,0.15,,0.05,0,0.01,,0.06,0.08,0.02,,0.6
Morning Consult,https://twitter.com/MorningConsult/status/1701599856748601500,National,Sept. 8-10,,0,0.03,0.14,,0.06,0,0,,0.06,0.09,0.02,,0.57
Morning Consult,https://twitter.com/MorningConsult/status/1704125941490888924,National,Sept. 15-17,,0,0.02,0.13,,0.06,0,0.01,,0.05,0.1,0.02,,0.59
CNN/UNH Granite State Poll,https://scholars.unh.edu/cgi/viewcontent.cgi?article=1761&context=survey_center_polls,New Hampshire,Sept. 14-18,,0.01,0.11,0.1,0,0.12,0.01,0,,0.02,0.13,0.06,,0.39
Fox Business,https://static.foxbusiness.com/foxbusiness.com/content/uploads/2023/09/Fox_September-14-18-2023_Iowa_R_Caucus_Topline_September-20-Release.pdf,Iowa,Sept. 14-18,0.01,0.02,0.03,0.15,0,0.11,0,0,0.01,0.03,0.07,0.07,,0.46
Fox Business,https://static.foxbusiness.com/foxbusiness.com/content/uploads/2023/09/Fox_September-14-18-2023_South-Carolina_R_Primary_Topline_September-20-Release.pdf,South Carolina,Sept. 14-18,,0,0.04,0.1,0,0.18,0.01,0.01,0,0.04,0.05,0.09,,0.46
InsiderAdvantage,https://insideradvantage.com/insideradvantage-survey-nh-gop-primary-trump-leads-by-28-points-haley-and-christie-in-low-double-digits-towery-to-appear-on-fox-news-ingraham-angle-tonight-tabs-this-evening/,New Hampshire,Sept. 20,0,0.04,0.1,0.08,0,0.14,0,0.01,0.01,0.01,0.05,0.05,,0.42
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/09/IA-GOP-Caucus-Poll-Report-0921.pdf,Iowa,Sept. 14-18,0.002,0.036,0.022,0.162,0.002,0.084,0.001,0.004,0.008,0.038,0.066,0.068,,0.486
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/09/TFG-National-GOP-PPP-Poll-Report-0922.pdf,National,Sept. 18-21,0.002,0.032,0.032,0.143,0.013,0.042,0.001,0.004,0.011,0.038,0.059,0.03,,0.561
,,,,,,,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,,
Unconfirmed qualifying poll,,,,,,,,,,,,,,,,,
Candidate dropped out,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Spreadsheet by: Steven Shepard and Zach Montellaro, POLITICO",,,,,,,,,,,,,,,,,
