Field,Link,National/state,Dates,Binkley,Burgum,Christie,DeSantis,Elder,Haley,Hurd,Hutchinson,Johnson,Pence,Ramaswamy,Scott,Suarez,Trump
Amercan Pulse,https://www.americanpulse.us/NationalGOPPollAugust2023,National,Aug. 15-16,0,0,0.04,0.13,0,0.03,0,0,0,0.04,0.07,0.04,0,0.58
Firehouse Strategies/3D Strategic Research,https://firehousestrategies.com/firehouse-poll-of-gop-primary/,National,Aug. 15-17,0,0,0.05,0.16,0,0.04,0,0,0,0.06,0.09,0.03,0,0.5
The Trafalgar Group,https://www.thetrafalgargroup.org/wp-content/uploads/2023/08/SC-GOP-PPP-Poll-Report-0820.pdf,South Carolina,Aug. 17-19,0,0,0.07,0.14,0,0.08,0,0,0,0.02,0.06,0.14,0,0.48
Echelon Insights/Republican Main Street Partnership,https://echelonin.wpenginepowered.com/wp-content/uploads/RMSP-National-Republican-Primary-Voter-Survey-Topline.pdf,National,Aug. 15-17,0,0,0.01,0.12,0,0.03,0,0,,0.04,0.15,0.03,0,0.57
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,Iowa,Aug. 15-17,0,0.02,0.04,0.17,0,0.02,0.01,0,,0.03,0.08,0.13,0,0.33
Echelon Insights/Republican Main Street Partnership,http://echeloninsights.com/wp-content/uploads/RMSP-Iowa-Republican-Caucus-Voter-Survey-Topline.pdf,New Hampshire,Aug. 15-17,0,0.02,0.14,0.09,0,0.03,0.03,0.01,,0.03,0.11,0.07,0,0.34
American Wire/McShane LLC,https://americanwirenews.com/exclusive-trump-surges-but-voters-say-they-can-be-persuaded-in-new-american-wire-news-poll/,National,2023-08-15 00:00:00,,0.01,0.06,0.12,0,0.03,0,0.01,,0.05,0.05,0.03,0.01,0.52
Morning Consult,https://twitter.com/MorningConsult/status/1693699741127708755,National,Aug. 18-20,,0,0.03,0.14,,0.03,0,0.01,,0.06,0.1,0.03,0,0.58
Key,,,,,,,,,,,,,,,,,
Unconfirmed qualifying poll,,,,,,,,,,,,,,,,,
Candidate dropped out,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Spreadsheet by: Steven Shepard and Zach Montellaro, POLITICO",,,,,,,,,,,,,,,,,
